index,adress,price,url,x,y
16,"Poznañ, Grunwald,  Promienista",3 500,https://www.otodom.pl/oferta/piekne-mieszkanie-2-pok-w-willi-miejskiej-grunwald-ID3ESLK.html#710ca4e80a,16.872698,52.389701
17,"Poznañ, Pi¹tkowo,  Karola Kurpiñskiego",1 300,https://www.otodom.pl/oferta/poznan-kurpinskiego-nowe-umeblowane-garaz-ID3ESvk.html#710ca4e80a,0,0
18,"Poznañ, Winogrady,  Pod Lipami",1 200,https://www.otodom.pl/oferta/okazja-3-samodzielne-umeblowane-pok-dla-studentow-ID3ERVk.html#710ca4e80a,16.944990,52.430450
19,"Poznañ, Je¿yce,  Bukowska",1 250,https://www.otodom.pl/oferta/bukowska-kawalerka-w-bloku-dla-studentow-ID3ERSI.html#710ca4e80a,16.881748,52.409632
20,"Poznañ, Grunwald, Zb¹szyñska Osobna Kuchnia",1 190,https://www.otodom.pl/oferta/mieszkanie-56-m-poznan-ID3ERPq.html#710ca4e80a,0,0
21,"Poznañ, Je¿yce, Zwierzyniecka NOWE",1 190,https://www.otodom.pl/oferta/mieszkanie-45-m-poznan-ID3ERPu.html#710ca4e80a,0,0
22,"Poznañ, Malta,  Krañcowa",1 500,https://www.otodom.pl/oferta/nowe-2017-rok-w-otulinie-terenow-nad-malta-ID3xZxt.html#710ca4e80a,16.978139,52.412773
23,"Poznañ, Wilda, Fabryczna",1 850,https://www.otodom.pl/oferta/mieszkanie-50-m-poznan-ID3ERju.html#710ca4e80a,16.910615,52.386937
24,"Poznañ, Grunwald,  Œwit",1 350,https://www.otodom.pl/oferta/wynajme-3-pokoje-poznan-grunwald-polecam-ID3AiPB.html#710ca4e80a,16.879403,52.409170
25,Poznañ,1 200,https://www.otodom.pl/oferta/apartament-katowicka-premium-ID3EzOQ.html#710ca4e80a,16.879403,52.409170
26,"Poznañ, Wilda,  Antoniego Kosiñskiego",3 250,https://www.otodom.pl/oferta/wilda-blisko-tramwaj-niezalezne-pomieszczenia-ID3DKn2.html#710ca4e80a,0,0
27,"Poznañ, Naramowice, Bratumi³y",2 200,https://www.otodom.pl/oferta/3-pokoje-poznan-naramowice-bezposrednio-ID3EfNe.html#710ca4e80a,16.951738,52.457925
28,"Poznañ, Stare Miasto, Niedzia³kowskiego",1 300,https://www.otodom.pl/oferta/mieszkanie-47-25-m-poznan-ID3EQKc.html#710ca4e80a,0,0
29,"Poznañ, Grunwald,  Jeleniogórska 1/3E",1 700,https://www.otodom.pl/oferta/nowe-dwupokojowe-os-przylesie-marcelin-v-ID3E4Jq.html#710ca4e80a,0,0
30,"Poznañ, Dolna Wilda,  Rolna 41",2 499,https://www.otodom.pl/oferta/nowe-mieszkanie-wysoki-standard-ul-rolna-ID3EQ8A.html#710ca4e80a,16.915292,52.380135
0,"Poznañ, Je¿yce,  Koœcielna 39, Bamberski Dwór",1 800,https://www.otodom.pl/oferta/bezposrednio-dwupokojowe-koscielna-bamb-dwor-ID3E9pe.html#c083e5401e,0,0
1,"Poznañ, Bonin,  gen. Stanis³awa Maczka",1 850,https://www.otodom.pl/oferta/kawalerka-po-remoncie-blisko-pestki-ul-gen-maczka-ID3CEZ6.html#c083e5401e,0,0
2,"Poznañ, Podolany,  Kosowska",1 300,https://www.otodom.pl/oferta/przytulne-mieszkanie-2-pokojowe-poznan-podolany-ID3d3eA.html#c083e5401e,16.876952,52.454899
3,"Poznañ, Stare Miasto,  Pó³nocna",1 200,https://www.otodom.pl/oferta/komfortowy-apartament-przy-cytadeli-ul-polnocna-ID3wuBO.html#c083e5401e,16.937794,52.415239
4,"Poznañ, Centrum,  Wenecjañska",1 300,https://www.otodom.pl/oferta/2-pokojowe-ul-wenecjanska-ID3voML.html#c083e5401e,16.940423,52.408728
5,"Poznañ, Naramowice,  B³a¿eja",2 300,https://www.otodom.pl/oferta/jasna-kawalerka-na-naramowicach-ID3xxAn.html#c083e5401e,16.940683,52.458776
6,"Poznañ, Pi¹tkowo, stefana batorego/Henryka Opieñskiego",2 200,https://www.otodom.pl/oferta/st-batorego-opienskiego-2-bezposrednio-ID3eMkO.html#c083e5401e,0,0
7,"Poznañ, Piotrowo, Œw.Rocha, Piotrowo, Na Miasteczku, Rataje",1 200,https://www.otodom.pl/oferta/sloneczny-apartament-mieszkanie-na-ul-sw-rocha-ID3EPFi.html#c083e5401e,0,0
8,"Poznañ, Nowe Miasto,  Folwarczna",1 300,https://www.otodom.pl/oferta/przytulne-przestronne-mieszkanie-ul-folwarczna-ID3CV4k.html#c083e5401e,17.006668,52.388267
9,"Poznañ, Wilda,  Dezyderego Ch³apowskiego",1 800,https://www.otodom.pl/oferta/nowe-2-pok-swietna-lokalizacja-tramwaj-ID3Dpmg.html#c083e5401e,0,0
10,"Poznañ, Je¿yce, Maksymiliana Jackowskiego",1 850,https://www.otodom.pl/oferta/2-pokoje-kuchnia-ogrodek-blisko-um-pums-ID3EPms.html#c083e5401e,0,0
11,"Poznañ, Stare Miasto, Bielniki",1 690,https://www.otodom.pl/oferta/piekne-komfortowe-wyposazone-z-garazem-ID3DEtV.html#c083e5401e,0,0
12,"Poznañ, Grunwald, Marcelinska",1 850,https://www.otodom.pl/oferta/czyste-sloneczne-i-cieple-mieszkanie-na-wynajem-ID3EPhC.html#c083e5401e,16.890359,52.404942
13,"Poznañ, Nowe Miasto, Wiejska",1 200,https://www.otodom.pl/oferta/mieszkanie-37-42-m-poznan-ID3EP3q.html#c083e5401e,16.974751,52.421515
14,"Poznañ, Centrum,  Wenecjañska",1 600,https://www.otodom.pl/oferta/2-pokojowe-ul-wenecjanska-ID3voML.html#c083e5401e,16.940423,52.408728
15,"Poznañ, Komandoria,  Piotra Tomickiego",1 450,https://www.otodom.pl/oferta/38-m2-srodka-ul-tomickiego-ID3DrgI.html#c083e5401e,0,0
16,"Poznañ, Grunwald, Marceliñska",3 500,https://www.otodom.pl/oferta/mieszkanie-50-m-poznan-ID3EOHm.html#c083e5401e,16.890359,52.404942
17,"Poznañ, Rataje,  Czecha",1 300,https://www.otodom.pl/oferta/rataje-os-czecha-2-osobne-umeblowane-pokoje-ID3EODa.html#c083e5401e,16.980854,52.386367
18,"Poznañ, Stare Miasto,  Rybaki",1 200,https://www.otodom.pl/oferta/mieszkanie-w-pelni-umeblowane-1min-od-s-browaru-ID2Xx0h.html#c083e5401e,16.932618,52.403142
19,"Poznañ, Œródka, Wiejska",1 250,https://www.otodom.pl/oferta/nowe-2-pok-srodka-ID3EOy8.html#c083e5401e,16.974751,52.421515
20,"Poznañ, So³acz,  Urbanowska",1 190,https://www.otodom.pl/oferta/komfortowe-urzadzone-w-ladnym-standardzie-solacz-ID3x8w5.html#c083e5401e,16.913946,52.422767
21,"Poznañ, Centrum, Wielka",1 190,https://www.otodom.pl/oferta/luksusowy-apartament-w-sercu-miasta-nowa-oferta-ID3EOm8.html#c083e5401e,16.936630,52.408542
22,"Poznañ, Grunwald,  Brzask",1 500,https://www.otodom.pl/oferta/mieszkanie-2-pok-58-8m2-ul-brzask-ataner-ID3bvOs.html#c083e5401e,16.878534,52.407471
23,"Poznañ, Wilda, Saperska",1 850,https://www.otodom.pl/oferta/kawalerka-wilda-ul-saperska-balkon-nowoczesne-ID3ENZi.html#c083e5401e,16.916691,52.376964
24,"Poznañ, Centrum, Maratoñska",1 350,https://www.otodom.pl/oferta/mieszkanie-64-m-poznan-ID3ENJe.html#c083e5401e,16.931473,52.397862
25,"Poznañ, Rataje,  Katowicka",1 200,https://www.otodom.pl/oferta/poznan-katowicka-57m-ID3AEAT.html#c083e5401e,16.966465,52.395877
26,"Poznañ, Je¿yce,  Zwierzyniecka",3 250,https://www.otodom.pl/oferta/wynajme-3-pokojowy-apartament-ul-zwierzyniecka-ID3EN1i.html#c083e5401e,16.902147,52.408926
27,"Poznañ, Grunwald, Przepiórcza 35B/8",2 200,https://www.otodom.pl/oferta/mieszkanie-kawalerka-sypialnia-na-poddaszu-ID2Fkn6.html#c083e5401e,0,0
28,"Poznañ, Grunwald",1 300,https://www.otodom.pl/oferta/4-pokoje-93m2-mozliwy-najem-krotkoterminowy-ID3EMDK.html#c083e5401e,0,0
29,"Poznañ, Ogrody,  Janusza Meissnera",1 700,https://www.otodom.pl/oferta/2-pokojowy-apartament-do-wynajecia-na-osiedlu-now-ID3DqrG.html#c083e5401e,0,0
30,"Poznañ, Grunwald,  Jeleniogórska",2 499,https://www.otodom.pl/oferta/piekny-apartament-przy-lasku-marcelinskim-ID3zPUP.html#c083e5401e,16.845991,52.390491
0,"Poznañ, Grunwald,  Brzask 10",1 800,https://www.otodom.pl/oferta/ataner-2-pokoje-kuchnia-2-balkony-brzask-poznan-ID3E8Ic.html#21db2a5b06,16.878740,52.407098
1,"Poznañ, Wilda,  28 Czerwca 1956 r. 158",1 850,https://www.otodom.pl/oferta/mieszkanie-przy-szpitalu-na-wildzie-ID3D2io.html#21db2a5b06,0,0
2,"Poznañ, Dêbiec, REDPARK 28 CZERWCA",1 300,https://www.otodom.pl/oferta/wynajme-zupelnie-nowe-mieszkanie-ID3Bjw2.html#21db2a5b06,0,0
3,"Poznañ, Malta,  Krañcowa",1 200,https://www.otodom.pl/oferta/nowe-2017-rok-w-otulinie-terenow-nad-malta-ID3xZxt.html#21db2a5b06,16.978139,52.412773
4,"Poznañ, Naramowickie Osiedle,  Sielawy",1 300,https://www.otodom.pl/oferta/naramowicka-sielawy-2-pok-49-m2-ID3EWA8.html#21db2a5b06,0,0
5,"Poznañ, Grunwald, G³ogowska 70",2 300,https://www.otodom.pl/oferta/kawalerka-1os-1050zl-ze-wszystkimi-oplatami-ID3Djs8.html#21db2a5b06,16.900077,52.395642
6,"Poznañ, Centrum,  Kazimierza Wielkiego",2 200,https://www.otodom.pl/oferta/nowoczesny-apartament-w-centrum-poznania-ID3Eu9m.html#21db2a5b06,16.937498,52.401601
7,"Poznañ,  Na Miasteczku 12",1 200,https://www.otodom.pl/oferta/poznan-tarasy-warty-ID3xkNR.html#21db2a5b06,16.949322,52.397126
8,"Poznañ, Naramowice, Naramowicka 217",1 300,https://www.otodom.pl/oferta/dwupojowe-naramowice-naramowicka-howell-ID3yhhx.html#21db2a5b06,16.946249,52.452528
9,"Poznañ, Naramowice, Kwarcowa",1 800,https://www.otodom.pl/oferta/niedroga-kawalerka-naramowice-ID3Ex16.html#21db2a5b06,16.955361,52.470384
10,Poznañ,1 850,https://www.otodom.pl/oferta/oryginalna-kawalerka-ID3E0q0.html#21db2a5b06,16.955361,52.470384
11,"Poznañ, So³acz,  Szyd³owska",1 690,https://www.otodom.pl/oferta/mala-tania-kawalerka-na-solaczu-dla-studentow-ID3EMu0.html#21db2a5b06,16.916154,52.426770
12,"Poznañ, Podolany,  Strzeszyñska",1 850,https://www.otodom.pl/oferta/podolany-strzeszynska-po-remoncie-bezposrednio-ID313Qk.html#21db2a5b06,16.886569,52.452976
13,"Poznañ, Pi¹tkowo, Batorego os.",1 200,https://www.otodom.pl/oferta/mieszkanie-36-m-poznan-ID3EMeA.html#21db2a5b06,0,0
14,"Poznañ, Malta,  Katowicka",1 600,https://www.otodom.pl/oferta/mieszkanie-49-m-poznan-ID3EMck.html#21db2a5b06,16.966465,52.395877
15,"Poznañ, Malta,  Katowicka",1 450,https://www.otodom.pl/oferta/mieszkanie-34-m-poznan-ID3EMco.html#21db2a5b06,16.966465,52.395877
16,"Poznañ, Malta, Baraniaka",3 500,https://www.otodom.pl/oferta/mieszkanie-32-m-poznan-ID3EMc8.html#21db2a5b06,16.971854,52.399955
17,"Poznañ, Œródka, Zawady",1 300,https://www.otodom.pl/oferta/mieszkanie-69-m-poznan-ID3EMcc.html#21db2a5b06,16.962478,52.420098
18,"Poznañ, Grunwald, Franciszka Morawskiego",1 200,https://www.otodom.pl/oferta/ul-morawskiego-kawalerka-do-wynajecia-ID3DTJe.html#21db2a5b06,0,0
